2025-11-03 19:56:37,621 INFO    MainThread:21268 [wandb_setup.py:_flush():81] Current SDK version is 0.22.3
2025-11-03 19:56:37,622 INFO    MainThread:21268 [wandb_setup.py:_flush():81] Configure stats pid to 21268
2025-11-03 19:56:37,622 INFO    MainThread:21268 [wandb_setup.py:_flush():81] Loading settings from C:\Users\thame\.config\wandb\settings
2025-11-03 19:56:37,622 INFO    MainThread:21268 [wandb_setup.py:_flush():81] Loading settings from C:\Users\thame\Desktop\CS5900\Zip-game\wandb\settings
2025-11-03 19:56:37,622 INFO    MainThread:21268 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-11-03 19:56:37,622 INFO    MainThread:21268 [wandb_init.py:setup_run_log_directory():706] Logging user logs to C:\Users\thame\Desktop\CS5900\Zip-game\wandb\run-20251103_195637-p4r4bf6i\logs\debug.log
2025-11-03 19:56:37,634 INFO    MainThread:21268 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to C:\Users\thame\Desktop\CS5900\Zip-game\wandb\run-20251103_195637-p4r4bf6i\logs\debug-internal.log
2025-11-03 19:56:37,634 INFO    MainThread:21268 [wandb_init.py:init():833] calling init triggers
2025-11-03 19:56:37,634 INFO    MainThread:21268 [wandb_init.py:init():838] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-11-03 19:56:37,634 INFO    MainThread:21268 [wandb_init.py:init():881] starting backend
2025-11-03 19:56:39,887 INFO    MainThread:21268 [wandb_init.py:init():884] sending inform_init request
2025-11-03 19:56:39,936 INFO    MainThread:21268 [wandb_init.py:init():892] backend started and connected
2025-11-03 19:56:39,937 INFO    MainThread:21268 [wandb_init.py:init():962] updated telemetry
2025-11-03 19:56:39,940 INFO    MainThread:21268 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2025-11-03 19:56:40,962 INFO    MainThread:21268 [wandb_init.py:init():1033] starting run threads in backend
2025-11-03 19:56:41,031 INFO    MainThread:21268 [wandb_run.py:_console_start():2506] atexit reg
2025-11-03 19:56:41,031 INFO    MainThread:21268 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-11-03 19:56:41,031 INFO    MainThread:21268 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-11-03 19:56:41,031 INFO    MainThread:21268 [wandb_run.py:_redirect():2446] Redirects installed.
2025-11-03 19:56:41,033 INFO    MainThread:21268 [wandb_init.py:init():1073] run started, returning control to user process
2025-11-03 19:58:38,974 INFO    wandb-AsyncioManager-main:21268 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-03 19:58:38,974 INFO    wandb-AsyncioManager-main:21268 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
